"Date","Price","Open","High","Low","Vol.","Change %"
"04-02-2026","3.468","3.346","3.545","3.264","113.20K","4.74%"
"03-02-2026","3.311","3.263","3.397","3.169","238.55K","2.29%"
"02-02-2026","3.237","3.708","3.736","3.155","554.86K","-25.65%"
"30-01-2026","4.354","3.879","4.425","3.818","351.65K","11.13%"
"29-01-2026","3.918","3.742","3.930","3.728","234.64K","-47.48%"
"28-01-2026","7.460","6.500","7.827","5.900","6.26K","7.28%"
"27-01-2026","6.954","6.646","7.310","5.772","77.68K","2.26%"
"26-01-2026","6.800","5.791","7.439","5.728","99.50K","28.91%"
"23-01-2026","5.275","4.872","5.434","4.660","107.11K","4.56%"
"22-01-2026","5.045","5.039","5.650","4.769","310.95K","42.72%"
"21-01-2026","3.535","3.188","3.582","3.114","359.01K","9.31%"
"20-01-2026","3.234","2.912","3.242","2.854","430.39K","-9.82%"
"19-01-2026","3.586","3.567","3.717","3.381","126.56K","3.40%"
"18-01-2026","3.468","3.532","3.540","3.468","","11.76%"
"16-01-2026","3.103","3.146","3.230","3.020","139.67K","-0.80%"
"15-01-2026","3.128","3.102","3.218","3.006","180.72K","0.26%"
"14-01-2026","3.120","3.384","3.443","3.068","215.33K","-8.75%"
"13-01-2026","3.419","3.358","3.499","3.298","187.13K","0.29%"
"12-01-2026","3.409","3.290","3.431","3.182","248.89K","7.57%"
"09-01-2026","3.169","3.410","3.496","3.131","322.22K","-6.99%"
"08-01-2026","3.407","3.563","3.634","3.355","193.22K","-3.35%"
"07-01-2026","3.525","3.425","3.591","3.419","151.94K","5.22%"
"06-01-2026","3.350","3.492","3.502","3.324","145.17K","-4.91%"
"05-01-2026","3.523","3.507","3.530","3.355","228.74K","-2.63%"
"02-01-2026","3.618","3.679","3.703","3.563","133.02K","-1.84%"
"31-12-2025","3.686","3.976","3.983","3.679","132.23K","-7.20%"
"30-12-2025","3.972","3.947","4.176","3.916","136.98K","-15.25%"
"29-12-2025","4.687","4.450","4.721","4.351","7.08K","7.35%"
"26-12-2025","4.366","4.196","4.421","4.196","46.35K","2.92%"
"24-12-2025","4.242","4.415","4.593","4.180","57.07K","-3.77%"
"23-12-2025","4.408","3.990","4.449","3.943","126.79K","11.17%"
"22-12-2025","3.965","4.081","4.140","3.797","157.60K","-0.48%"
"19-12-2025","3.984","3.942","4.030","3.840","145.51K","1.94%"
"18-12-2025","3.908","4.117","4.218","3.877","158.06K","-2.88%"
"17-12-2025","4.024","3.936","4.114","3.920","153.56K","3.55%"
"16-12-2025","3.886","4.037","4.045","3.842","155.86K","-3.14%"
"15-12-2025","4.012","4.171","4.218","3.993","169.24K","-2.46%"
"12-12-2025","4.113","4.231","4.257","4.065","199.84K","-2.79%"
"11-12-2025","4.231","4.626","4.631","4.196","287.86K","-7.92%"
"10-12-2025","4.595","4.578","4.696","4.455","271.11K","0.46%"
"09-12-2025","4.574","4.868","4.878","4.551","249.50K","-6.88%"
"08-12-2025","4.912","5.100","5.205","4.850","301.95K","-7.13%"
"05-12-2025","5.289","5.077","5.496","5.027","376.68K","4.46%"
"04-12-2025","5.063","5.010","5.090","4.871","209.84K","1.36%"
"03-12-2025","4.995","4.827","5.039","4.819","186.37K","3.20%"
"02-12-2025","4.840","4.902","4.984","4.805","172.38K","-1.65%"
"01-12-2025","4.921","4.870","4.952","4.758","209.47K","1.46%"
"28-11-2025","4.850","4.618","4.871","4.527","127.69K","4.77%"
"27-11-2025","4.629","4.634","4.647","4.530","27.73K","1.56%"
"26-11-2025","4.558","4.483","4.644","4.442","155.16K","3.03%"
"25-11-2025","4.424","4.501","4.547","4.267","6.37K","-2.75%"
"24-11-2025","4.549","4.465","4.576","4.444","78.48K","-0.68%"
"21-11-2025","4.580","4.489","4.675","4.461","80.71K","-1.86%"
"20-11-2025","4.667","4.767","4.800","4.650","141.95K","-1.81%"
"19-11-2025","4.753","4.589","4.806","4.571","135.72K","3.48%"
"18-11-2025","4.593","4.574","4.619","4.461","130.91K","0.00%"
"17-11-2025","4.593","4.736","4.746","4.554","107.34K","0.59%"
"14-11-2025","4.566","4.597","4.635","4.376","227.91K","-1.72%"
"13-11-2025","4.646","4.535","4.688","4.454","201.02K","2.49%"
"12-11-2025","4.533","4.526","4.582","4.461","170.35K","-0.70%"
"11-11-2025","4.565","4.375","4.581","4.276","243.69K","5.23%"
"10-11-2025","4.338","4.480","4.509","4.262","189.08K","0.53%"
"07-11-2025","4.315","4.413","4.419","4.268","178.32K","-0.96%"
"06-11-2025","4.357","4.239","4.420","4.192","193.87K","2.95%"
"05-11-2025","4.232","4.320","4.351","4.206","156.27K","-2.56%"
"04-11-2025","4.343","4.256","4.396","4.183","231.29K","1.80%"
"03-11-2025","4.266","4.160","4.298","4.087","242.22K","3.44%"
"31-10-2025","4.124","4.061","4.157","4.015","238.49K","4.25%"
"30-10-2025","3.956","3.798","4.071","3.786","201.08K","17.18%"
"29-10-2025","3.376","3.271","3.405","3.193","4.30K","0.93%"
"28-10-2025","3.345","3.411","3.435","3.239","85.02K","-2.82%"
"27-10-2025","3.442","3.410","3.469","3.261","67.44K","4.18%"
"24-10-2025","3.304","3.285","3.397","3.200","108.14K","-1.20%"
"23-10-2025","3.344","3.439","3.507","3.290","157.09K","-17.64%"
"22-10-2025","4.060","4.090","4.139","4.015","146.97K","-0.68%"
"21-10-2025","4.088","4.045","4.098","3.954","141.19K","1.31%"
"20-10-2025","4.035","3.837","4.051","3.829","163.82K","34.14%"
"17-10-2025","3.008","2.926","3.024","2.893","128.24K","2.38%"
"16-10-2025","2.938","3.036","3.067","2.922","161.36K","-2.59%"
"15-10-2025","3.016","3.029","3.041","2.964","149.15K","-0.40%"
"14-10-2025","3.028","3.103","3.106","3.004","150.48K","-2.89%"
"13-10-2025","3.118","3.100","3.138","3.029","0.70K","0.39%"
"10-10-2025","3.106","3.239","3.253","3.089","195.35K","-4.99%"
"09-10-2025","3.269","3.336","3.393","3.235","198.68K","-1.92%"
"08-10-2025","3.333","3.524","3.550","3.316","242.69K","-4.72%"
"07-10-2025","3.498","3.398","3.524","3.355","230.26K","4.20%"
"06-10-2025","3.357","3.300","3.485","3.296","165.23K","0.99%"
"03-10-2025","3.324","3.413","3.451","3.307","217.26K","-3.43%"
"02-10-2025","3.442","3.457","3.585","3.402","259.35K","-0.98%"
"01-10-2025","3.476","3.331","3.492","3.318","240.70K","5.24%"
"30-09-2025","3.303","3.279","3.351","3.245","162.03K","1.10%"
"29-09-2025","3.267","3.149","3.299","3.133","166.63K","15.24%"
"26-09-2025","2.835","2.912","2.944","2.788","4.45K","-2.38%"
"25-09-2025","2.904","2.879","2.968","2.848","74.21K","1.61%"
"24-09-2025","2.858","2.863","2.914","2.816","55.70K","0.18%"
"23-09-2025","2.853","2.806","2.870","2.772","70.89K","1.67%"
"22-09-2025","2.806","2.909","2.945","2.804","163.18K","-12.04%"
"19-09-2025","3.190","3.211","3.241","3.174","135.90K","-1.36%"
"18-09-2025","3.234","3.340","3.365","3.224","124.16K","-3.81%"
"17-09-2025","3.362","3.366","3.419","3.332","84.82K","0.21%"
"16-09-2025","3.355","3.308","3.375","3.170","102.44K","1.67%"
"15-09-2025","3.300","3.199","3.306","3.173","92.15K","12.21%"
"12-09-2025","2.941","2.918","3.000","2.897","160.05K","0.24%"
"11-09-2025","2.934","3.029","3.062","2.911","199.07K","-3.14%"
"10-09-2025","3.029","3.107","3.117","3.008","171.98K","-2.82%"
"09-09-2025","3.117","3.098","3.165","3.046","181.52K","0.87%"
"08-09-2025","3.090","3.087","3.198","3.056","200.53K","1.38%"
"05-09-2025","3.048","3.078","3.130","3.021","130.91K","-0.85%"
"04-09-2025","3.074","3.075","3.130","3.022","165.91K","0.33%"
"03-09-2025","3.064","2.992","3.131","2.964","187.56K","1.83%"
"02-09-2025","3.009","2.972","3.065","2.869","226.57K","0.91%"
"01-09-2025","2.982","2.974","3.065","2.928","45.73K","-0.73%"
"31-08-2025","3.004","2.986","3.005","2.979","","0.23%"
"29-08-2025","2.997","2.985","3.023","2.921","142.63K","1.80%"
"28-08-2025","2.944","2.874","2.999","2.850","186.27K","2.69%"
"27-08-2025","2.867","2.738","2.906","2.676","3.34K","5.52%"
"26-08-2025","2.717","2.711","2.742","2.654","70.24K","0.78%"
"25-08-2025","2.696","2.639","2.717","2.622","60.32K","-0.07%"
"22-08-2025","2.698","2.813","2.819","2.689","79.36K","-4.53%"
"21-08-2025","2.826","2.765","2.849","2.740","115.27K","-0.56%"
"20-08-2025","2.842","2.857","2.869","2.820","113.08K","-0.70%"
"19-08-2025","2.862","3.009","3.009","2.827","154.55K","-4.34%"
"18-08-2025","2.992","2.985","3.025","2.911","95.61K","2.61%"
"15-08-2025","2.916","2.850","2.966","2.836","132.78K","2.64%"
"14-08-2025","2.841","2.818","2.852","2.774","138.65K","0.46%"
"13-08-2025","2.828","2.784","2.851","2.764","179.25K","0.71%"
"12-08-2025","2.808","2.978","2.985","2.774","219.06K","-4.94%"
"11-08-2025","2.954","2.895","3.000","2.881","156.87K","-1.20%"
"08-08-2025","2.990","3.086","3.106","2.960","164.26K","-2.51%"
"07-08-2025","3.067","3.099","3.148","3.035","171.66K","-0.32%"
"06-08-2025","3.077","3.015","3.096","2.945","133.71K","2.23%"
"05-08-2025","3.010","2.946","3.041","2.929","134.13K","2.66%"
"04-08-2025","2.932","3.065","3.078","2.895","167.44K","-4.90%"
"01-08-2025","3.083","3.100","3.131","3.051","102.38K","-0.74%"
"31-07-2025","3.106","3.026","3.114","2.972","168.40K","2.00%"
"30-07-2025","3.045","3.164","3.186","3.014","126.25K","-1.17%"
"29-07-2025","3.081","3.034","3.112","3.011","2.37K","3.11%"
"28-07-2025","2.988","3.093","3.140","2.984","69.85K","-3.92%"
"25-07-2025","3.110","3.110","3.145","3.068","39.12K","0.52%"
"24-07-2025","3.094","3.070","3.166","3.065","75.36K","0.55%"
"23-07-2025","3.077","3.253","3.267","3.061","158.44K","-6.39%"
"22-07-2025","3.287","3.342","3.360","3.247","122.26K","-2.06%"
"21-07-2025","3.356","3.506","3.512","3.319","143.80K","-5.86%"
"18-07-2025","3.565","3.519","3.628","3.494","123.96K","0.65%"
"17-07-2025","3.542","3.557","3.629","3.511","108.57K","-0.25%"
"16-07-2025","3.551","3.519","3.598","3.491","116.04K","0.79%"
"15-07-2025","3.523","3.447","3.542","3.401","132.96K","1.64%"
"14-07-2025","3.466","3.404","3.499","3.383","149.46K","4.59%"
"11-07-2025","3.314","3.365","3.418","3.293","130.29K","-0.69%"
"10-07-2025","3.337","3.208","3.398","3.191","163.04K","3.83%"
"09-07-2025","3.214","3.348","3.359","3.149","217.20K","-3.77%"
"08-07-2025","3.340","3.406","3.469","3.325","130.24K","-2.11%"
"07-07-2025","3.412","3.344","3.472","3.275","163.40K","0.65%"
"04-07-2025","3.390","3.418","3.434","3.368","16.62K","-0.56%"
"03-07-2025","3.409","3.500","3.574","3.392","147.83K","-2.26%"
"02-07-2025","3.488","3.417","3.520","3.366","115.61K","2.14%"
"01-07-2025","3.415","3.453","3.468","3.293","177.01K","-1.19%"
"30-06-2025","3.456","3.735","3.738","3.421","212.92K","-7.57%"
"27-06-2025","3.739","3.530","3.751","3.513","153.06K","14.66%"
"26-06-2025","3.261","3.394","3.425","3.199","5.53K","-4.26%"
"25-06-2025","3.406","3.549","3.587","3.372","74.50K","-3.70%"
"24-06-2025","3.537","3.681","3.684","3.530","70.98K","-4.35%"
"23-06-2025","3.698","3.949","3.949","3.666","102.70K","-6.36%"
"20-06-2025","3.949","4.077","4.230","3.918","150.78K","-3.35%"
"19-06-2025","4.086","4.083","4.102","3.966","36.51K","0.22%"
"18-06-2025","4.077","3.963","4.092","3.918","171.19K","3.24%"
"17-06-2025","3.949","3.836","3.975","3.818","86.01K","2.73%"
"16-06-2025","3.844","3.773","3.855","3.732","85.97K","7.34%"
"13-06-2025","3.581","3.541","3.623","3.499","133.29K","2.55%"
"12-06-2025","3.492","3.519","3.644","3.466","220.85K","-0.43%"
"11-06-2025","3.507","3.526","3.626","3.453","211.74K","-0.74%"
"10-06-2025","3.533","3.612","3.662","3.515","179.31K","-2.81%"
"09-06-2025","3.635","3.719","3.769","3.581","215.68K","-3.94%"
"06-06-2025","3.784","3.653","3.817","3.649","180.63K","2.91%"
"05-06-2025","3.677","3.703","3.791","3.620","208.76K","-1.05%"
"04-06-2025","3.716","3.729","3.740","3.661","126.09K","-0.16%"
"03-06-2025","3.722","3.748","3.764","3.630","139.41K","0.76%"
"02-06-2025","3.694","3.501","3.750","3.501","199.98K","7.17%"
"30-05-2025","3.447","3.535","3.564","3.440","131.55K","-2.13%"
"29-05-2025","3.522","3.535","3.576","3.437","180.66K","9.93%"
"28-05-2025","3.204","3.405","3.511","3.152","2.54K","-5.71%"
"27-05-2025","3.398","3.376","3.445","3.214","55.90K","-7.34%"
"26-05-2025","3.667","3.672","3.758","3.643","17.95K","-2.27%"
"25-05-2025","3.752","3.786","3.803","3.745","","12.54%"
"23-05-2025","3.334","3.283","3.350","3.217","60.60K","2.49%"
"22-05-2025","3.253","3.356","3.381","3.238","91.99K","-12.95%"
"21-05-2025","3.737","3.759","3.840","3.678","118.67K","-0.80%"
"20-05-2025","3.767","3.445","3.795","3.444","195.65K","9.13%"
"19-05-2025","3.452","3.640","3.640","3.436","150.36K","3.54%"
"16-05-2025","3.334","3.372","3.449","3.305","141.33K","-0.83%"
"15-05-2025","3.362","3.467","3.499","3.335","152.65K","-3.72%"
"14-05-2025","3.492","3.622","3.635","3.454","119.95K","-4.25%"
"13-05-2025","3.647","3.677","3.728","3.570","130.02K","0.03%"
"12-05-2025","3.646","3.775","3.840","3.608","163.73K","-3.93%"
"09-05-2025","3.795","3.621","3.815","3.613","174.97K","5.65%"
"08-05-2025","3.592","3.632","3.723","3.527","158.75K","-0.80%"
"07-05-2025","3.621","3.487","3.656","3.487","162.37K","4.56%"
"06-05-2025","3.463","3.568","3.648","3.423","200.86K","-2.45%"
"05-05-2025","3.550","3.671","3.747","3.531","161.32K","-2.20%"
"02-05-2025","3.630","3.446","3.673","3.418","140.95K","4.34%"
"01-05-2025","3.479","3.353","3.540","3.340","159.64K","4.60%"
"30-04-2025","3.326","3.380","3.399","3.260","145.96K","-1.77%"
"29-04-2025","3.386","3.320","3.457","3.307","156.57K","6.81%"
"28-04-2025","3.170","2.884","3.187","2.859","2.17K","7.93%"
"25-04-2025","2.937","2.939","2.983","2.868","58.82K","0.24%"
"24-04-2025","2.930","3.011","3.016","2.858","66.98K","-3.04%"
"23-04-2025","3.022","3.046","3.074","2.967","86.14K","0.50%"
"22-04-2025","3.007","3.051","3.095","2.955","133.98K","-5.35%"
"21-04-2025","3.177","3.367","3.391","3.155","117.68K","-2.10%"
"17-04-2025","3.245","3.262","3.334","3.191","145.61K","-0.06%"
"16-04-2025","3.247","3.318","3.318","3.204","150.41K","-2.46%"
"15-04-2025","3.329","3.345","3.378","3.216","143.59K","0.12%"
"14-04-2025","3.325","3.500","3.613","3.312","160.23K","-5.73%"
"11-04-2025","3.527","3.520","3.576","3.394","181.63K","-0.84%"
"10-04-2025","3.557","3.747","3.751","3.466","260.68K","-6.79%"
"09-04-2025","3.816","3.481","3.829","3.336","359.06K","10.13%"
"08-04-2025","3.465","3.630","3.783","3.462","278.15K","-5.20%"
"07-04-2025","3.655","3.811","3.939","3.600","298.84K","-4.74%"
"04-04-2025","3.837","4.119","4.153","3.811","246.55K","-7.27%"
"03-04-2025","4.138","4.011","4.203","3.968","165.41K","2.05%"
"02-04-2025","4.055","3.950","4.089","3.935","141.24K","2.63%"
"01-04-2025","3.951","4.132","4.148","3.934","156.69K","-4.08%"
"31-03-2025","4.119","4.176","4.253","4.055","171.86K","1.33%"
"28-03-2025","4.065","3.915","4.100","3.836","176.36K","2.91%"
"27-03-2025","3.950","3.859","4.016","3.689","5.09K","2.31%"
"26-03-2025","3.861","3.866","3.930","3.813","52.75K","0.55%"
"25-03-2025","3.840","3.909","3.990","3.796","50.29K","-1.89%"
"24-03-2025","3.914","3.880","4.012","3.862","78.99K","-2.73%"
"21-03-2025","4.024","4.035","4.089","3.931","118.07K","-0.35%"
"20-03-2025","4.038","4.280","4.312","4.027","141.55K","-6.38%"
"19-03-2025","4.313","4.110","4.322","4.102","113.39K","4.96%"
"18-03-2025","4.109","4.073","4.185","4.041","95.98K","0.56%"
"17-03-2025","4.086","4.187","4.278","4.046","88.75K","-0.44%"
"14-03-2025","4.104","4.040","4.141","3.962","144.41K","-0.17%"
"13-03-2025","4.111","4.032","4.195","3.955","227.07K","0.66%"
"12-03-2025","4.084","4.346","4.379","4.029","224.05K","-8.29%"
"11-03-2025","4.453","4.461","4.588","4.334","192.16K","-0.85%"
"10-03-2025","4.491","4.467","4.901","4.447","221.48K","2.09%"
"07-03-2025","4.399","4.286","4.426","4.132","211.90K","2.25%"
"06-03-2025","4.302","4.466","4.471","4.254","202.48K","-3.33%"
"05-03-2025","4.450","4.317","4.518","4.227","224.57K","2.30%"
"04-03-2025","4.350","4.168","4.551","4.056","350.51K","5.53%"
"03-03-2025","4.122","3.779","4.173","3.742","269.84K","7.51%"
"28-02-2025","3.834","3.939","3.954","3.814","141.99K","-2.54%"
"27-02-2025","3.934","3.966","4.065","3.878","171.40K","0.72%"
"26-02-2025","3.906","4.130","4.212","3.860","2.24K","-6.42%"
"25-02-2025","4.174","3.987","4.186","3.935","91.53K","4.51%"
"24-02-2025","3.994","4.065","4.090","3.906","82.87K","-5.67%"
"21-02-2025","4.234","4.174","4.444","4.148","164.32K","1.97%"
"20-02-2025","4.152","4.381","4.476","4.034","211.82K","-1.26%"
"19-02-2025","4.205","3.974","4.289","3.911","247.32K","5.73%"
"18-02-2025","3.977","3.610","3.981","3.557","203.90K","6.77%"
"14-02-2025","3.725","3.650","3.801","3.635","201.10K","2.67%"
"13-02-2025","3.628","3.591","3.786","3.583","305.90K","1.77%"
"12-02-2025","3.565","3.510","3.583","3.469","194.73K","1.31%"
"11-02-2025","3.519","3.442","3.576","3.431","219.16K","2.18%"
"10-02-2025","3.444","3.406","3.487","3.352","203.92K","4.08%"
"07-02-2025","3.309","3.380","3.435","3.296","188.70K","-2.90%"
"06-02-2025","3.408","3.355","3.434","3.303","177.67K","1.43%"
"05-02-2025","3.360","3.229","3.375","3.161","170.26K","3.29%"
"04-02-2025","3.253","3.327","3.350","3.168","182.53K","-2.95%"
"03-02-2025","3.352","3.230","3.407","3.230","273.51K","10.12%"
"31-01-2025","3.044","3.081","3.118","2.990","138.21K","-0.10%"
"30-01-2025","3.047","3.175","3.240","3.035","201.74K","-13.80%"
"29-01-2025","3.535","3.335","3.588","3.313","3.30K","1.84%"
