Date,Price
2022-01-02,4.573
2022-01-03,4.598
2022-01-04,5.795
2022-01-06,8.686
2022-01-07,5.712
2022-01-08,8.26
2022-01-09,9.33
2022-01-11,6.08
2022-01-12,6.631
2022-02-02,5.044
2022-02-03,4.787
2022-02-05,7.566
2022-02-06,8.474
2022-02-08,7.698
2022-02-09,8.85
2022-02-11,6.589
2022-02-12,6.169
2022-03-01,3.678
2022-03-02,4.72
2022-03-03,4.736
2022-03-05,8.025
2022-03-06,8.51
2022-03-07,5.709
2022-03-08,8.262
2022-03-10,6.803
2022-03-11,6.33
2022-04-01,3.582
2022-04-02,4.492
2022-04-03,5.036
2022-04-04,5.793
2022-04-05,8.472
2022-04-07,5.853
2022-04-08,8.114
2022-04-09,8.979
2022-04-10,7.174
2022-04-11,6.754
2022-05-01,3.71
2022-05-04,6.108
2022-05-05,8.841
2022-05-07,5.487
2022-05-08,8.051
2022-05-09,8.714
2022-05-10,7.236
2022-05-12,5.484
2022-06-01,3.67
2022-06-04,6.107
2022-06-05,8.128
2022-06-06,9.306
2022-06-07,5.482
2022-06-09,8.212
2022-06-10,7.242
2022-06-12,5.378
2022-07-01,3.726
2022-07-02,4.198
2022-07-03,4.858
2022-07-04,6.436
2022-07-06,9.278
2022-07-07,6.262
2022-07-09,7.901
2022-07-10,7.047
2022-07-11,7.244
2022-07-12,5.617
2022-08-02,4.218
2022-08-03,4.563
2022-08-04,6.356
2022-08-06,8.679
2022-08-07,5.967
2022-08-08,7.578
2022-08-09,7.971
2022-08-11,6.524
2022-08-12,5.82
2022-09-02,3.98
2022-09-03,4.561
2022-09-05,7.106
2022-09-06,8.978
2022-09-08,7.825
2022-09-09,8.044
2022-09-11,6.225
2022-09-12,6.082
2022-10-01,3.834
2022-10-02,3.943
2022-10-03,4.669
2022-10-05,7.467
2022-10-06,8.867
2022-10-08,8.193
2022-10-10,6.784
2022-10-11,6.613
2022-11-01,3.968
2022-11-02,3.935
2022-11-03,4.766
2022-11-04,6.723
2022-11-05,7.727
2022-11-07,6.319
2022-11-08,8.863
2022-11-10,6.928
2022-11-11,6.263
2022-12-01,4.327
2022-12-04,6.763
2022-12-05,7.835
2022-12-07,6.021
2022-12-08,8.744
2022-12-09,8.287
2022-12-10,6.766
2022-12-12,6.416
2023-01-02,2.536
2023-01-03,2.943
2023-01-05,2.498
2023-01-06,2.273
2023-01-08,2.672
2023-01-09,3.111
2023-01-11,3.753
2023-01-12,2.773
2023-02-01,4.143
2023-02-02,2.522
2023-02-03,2.899
2023-02-05,2.417
2023-02-06,2.299
2023-02-08,2.586
2023-02-10,3.233
2023-02-11,3.75
2023-03-01,3.641
2023-03-02,2.48
2023-03-03,3.141
2023-03-04,2.333
2023-03-05,2.36
2023-03-07,2.702
2023-03-08,2.67
2023-03-09,2.671
2023-03-10,3.313
2023-03-11,3.795
2023-04-01,3.78
2023-04-04,2.344
2023-04-05,2.297
2023-04-07,2.751
2023-04-08,2.681
2023-04-09,2.647
2023-04-10,3.32
2023-04-12,2.651
2023-05-01,3.426
2023-05-04,2.381
2023-05-05,2.321
2023-05-06,2.366
2023-05-07,2.643
2023-05-09,2.991
2023-05-10,3.511
2023-05-12,2.667
2023-06-01,3.392
2023-06-02,2.535
2023-06-03,2.73
2023-06-04,2.238
2023-06-06,2.381
2023-06-07,2.599
2023-06-09,2.943
2023-06-10,3.641
2023-06-11,3.564
2023-06-12,2.517
2023-07-02,2.664
2023-07-03,2.84
2023-07-06,2.433
2023-07-07,2.57
2023-07-08,2.813
2023-07-09,2.958
2023-07-11,3.463
2023-07-12,2.52
2023-08-02,2.477
2023-08-03,2.713
2023-08-05,2.412
2023-08-06,2.434
2023-08-08,2.864
2023-08-09,2.966
2023-08-11,3.389
2023-08-12,2.504
2023-09-01,3.563
2023-09-02,2.492
2023-09-03,2.683
2023-09-05,2.427
2023-09-06,2.331
2023-09-08,3.053
2023-09-10,3.631
2023-09-11,3.333
2023-10-01,3.314
2023-10-02,2.607
2023-10-03,2.559
2023-10-04,2.361
2023-10-05,2.336
2023-10-07,2.641
2023-10-08,2.87
2023-10-10,3.659
2023-10-11,3.284
2023-11-01,3.346
2023-11-04,2.351
2023-11-05,2.345
2023-11-07,2.692
2023-11-08,2.882
2023-11-09,2.937
2023-11-10,3.658
2023-11-12,2.35
2023-12-01,3.355
2023-12-04,2.267
2023-12-05,2.438
2023-12-06,2.336
2023-12-07,2.597
2023-12-09,3.015
2023-12-10,3.639
2023-12-12,2.24
2024-01-01,2.667
2024-01-02,2.064
2024-01-03,1.975
2024-01-04,2.074
2024-01-05,2.266
2024-01-07,2.492
2024-01-08,2.096
2024-01-10,3.288
2024-01-11,2.936
2024-02-01,2.386
2024-02-02,2.086
2024-02-04,2.105
2024-02-05,2.331
2024-02-07,2.454
2024-02-08,2.078
2024-02-10,3.297
2024-02-12,3.213
2024-03-01,2.448
2024-03-04,2.067
2024-03-05,2.416
2024-03-06,2.804
2024-03-07,2.447
2024-03-09,2.55
2024-03-10,3.369
