Event_Date,Event_Type,Event_Pair,Event_ZScore,Price_T0,Price_T1,Price_Change,Price_Change_Pct,Volatility,Days_Forward
2011-02-25,Ratio Deviation,South Central/Total Lower 48,2.298838817677754,4.005,4.403,0.3979999999999997,9.93757802746566,0.1864465836947101,28
2011-03-04,Ratio Deviation,South Central/Total Lower 48,3.0328171177579977,3.809,4.362,0.5529999999999999,14.51824625886059,0.21339525143107876,28
2011-03-04,Ratio Deviation,East/Total Lower 48,-2.0845140929255104,3.809,4.362,0.5529999999999999,14.51824625886059,0.21339525143107876,28
2011-03-11,Ratio Deviation,South Central/Total Lower 48,3.31860045175652,3.889,4.041,0.15200000000000058,3.908459758292635,0.16637686709624594,28
2011-03-11,Ratio Deviation,East/Total Lower 48,-2.3856697282014103,3.889,4.041,0.15200000000000058,3.908459758292635,0.16637686709624594,28
2011-03-18,Ratio Deviation,South Central/Total Lower 48,3.4073409077411325,4.168,4.204,0.03599999999999959,0.8637236084452876,0.11110773407566443,28
2011-03-18,Ratio Deviation,East/Total Lower 48,-2.6439090482438963,4.168,4.204,0.03599999999999959,0.8637236084452876,0.11110773407566443,28
2011-03-25,Ratio Deviation,East/Total Lower 48,-2.652494932097816,4.403,4.389,-0.013999999999999346,-0.31796502384736197,0.12157051647579059,31
2011-03-25,Ratio Deviation,South Central/Total Lower 48,3.5402489044544367,4.403,4.389,-0.013999999999999346,-0.31796502384736197,0.12157051647579059,31
2011-04-01,Ratio Deviation,East/Total Lower 48,-3.1405344414150345,4.362,4.698,0.3360000000000003,7.702888583218713,0.17106516917614514,28
2011-04-01,Ratio Deviation,East/Midwest,-2.2192041347653815,4.362,4.698,0.3360000000000003,7.702888583218713,0.17106516917614514,28
2011-04-01,Ratio Deviation,South Central/Total Lower 48,3.664621307571589,4.362,4.698,0.3360000000000003,7.702888583218713,0.17106516917614514,28
2011-04-08,Ratio Deviation,East/Midwest,-2.0158872953494726,4.041,4.235,0.19399999999999995,4.800791883197227,0.20821006598852843,28
2011-04-08,Ratio Deviation,South Central/Total Lower 48,3.4441203689672713,4.041,4.235,0.19399999999999995,4.800791883197227,0.20821006598852843,28
